,Country,Lat,Long,Confirmed
257,US,29.6499,-90.1121,0
258,US,40.7909,-121.8474,0
259,US,34.8606,-81.9535,0
260,US,38.4333,-84.3542,0
261,US,41.6699,-91.5984,0
262,US,42.3118,-73.1822,0
263,US,36.1343,-86.822,0
264,US,43.1261,-123.2492,0
265,US,36.9859,-119.2321,0
266,US,39.5839,-76.3637,0
267,US,39.8065,-86.5401,0
268,US,40.7453,-74.0535,0
269,US,38.8454,-94.8521,0
270,US,47.175,-120.9319,0
271,US,27.4799,-82.3452,0
272,US,44.8446,-122.5927,0
273,US,30.5773,-86.6611,0
274,US,34.0132,-85.1479,0
275,US,33.9533,-117.3961,0
276,US,35.1269,-89.9253,0
277,US,38.6103,-90.4125,0
278,US,40.9849,-72.6151,0
279,US,41.8586,-74.3118,0
280,US,29.028000000000002,-81.0755,0
281,US,38.9085,-77.2405,0
282,US,42.9931,-71.0498,0
283,US,38.9072,-77.0369,0
284,US,40.229,-75.3879,0
285,US,37.6017,-121.7195,0
286,US,26.1901,-80.3659,0
287,US,26.663,-81.9535,0
288,US,32.8162,-111.2845,0
289,US,41.1489,-73.983,0
290,US,43.0324,-73.936,0
291,US,32.7957,-79.7848,0
292,US,45.7466,-122.5194,0
293,US,33.8999,-84.5641,0
294,US,40.9629,-112.0953,0
295,US,38.9108,-104.4723,0
296,US,21.307,-157.8584,0
297,US,42.3345,-122.7647,0
298,US,47.7425,-123.304,0
299,US,34.3672,-80.5883,0
300,US,42.6953,-121.6142,0
301,US,37.2519,-119.6963,0
302,US,47.0676,-122.1295,0
303,US,36.1593,-95.941,0
304,US,39.2587,-104.9389,0
305,US,41.8882,-71.4774,0
306,US,35.7211,-79.1781,0
307,US,39.9078,-75.3879,0
308,US,41.3148,-96.1951,0
309,US,38.0606,-84.4803,0
310,US,39.8362,-86.1752,0
311,US,42.4672,-71.2874,0
312,US,40.6546,-73.5594,0
313,US,44.9964,-93.0616,0
314,US,40.5608,-119.6035,0
315,US,41.6739,-75.2479,0
